event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,x_m,y_m,z_m
3260405,2011/04/14 18:09:44.64,38.82105,-122.80693,2.705,0.5,ML,6346.697997318329,4291.634919523309,2705.0
3158398,2011/04/15 13:41:24.62,38.77105,-122.70914,1.426,1.7,ML,16254.842460541284,2202.25297859204,1426.0
3158411,2011/04/15 16:00:26.77,38.79432,-122.73508,1.273,0.87,ML,12844.170716912018,1974.0726443470865,1273.0
3311988,2011/04/15 23:17:30.81,38.83793,-122.82861,3.548,0.18,ML,3696.967719417259,4301.750969898485,3548.0
3158527,2011/04/16 05:56:27.96,38.84875,-122.822,1.972,1.38,ML,3256.4569556002957,3050.2815238910416,1972.0
3158884,2011/04/18 19:58:25.42,38.80878,-122.81192,4.029,2.29,ML,6999.956995101761,5557.100244710505,4029.0
3158961,2011/04/19 04:20:51.08,38.81342,-122.74015,2.77,0.87,ML,11039.77644590207,791.6996318411793,2770.0
3312043,2011/04/20 22:50:41.58,38.83533,-122.78817,1.038,0.51,ML,6380.97938068615,2024.31495978895,1038.0
3260676,2011/04/21 09:43:17.77,38.81927,-122.80537,4.017,0.43,ML,6581.56754844605,4335.11331418865,4017.0000000000005
3159450,2011/04/22 12:33:23.61,38.84032,-122.79028,3.263,0.68,ML,5861.388726933902,1763.5931138165386,3263.0
3159478,2011/04/22 18:31:22.41,38.84087,-122.82874,2.645,1.1,ML,3459.1214697424916,4079.8539832621027,2645.0
3260828,2011/04/25 14:09:44.72,38.7464,-122.70267,1.775,0.99,ML,18579.05869866932,3732.686663954208,1775.0
3260836,2011/04/25 18:48:04.13,38.77442,-122.74998,1.661,0.61,ML,13486.089000100386,4444.021845030955,1661.0
3160056,2011/04/26 16:43:37.83,38.83648,-122.80123,2.658,0.82,ML,5489.919860588509,2735.542941873457,2658.0
3160151,2011/04/27 01:04:35.54,38.8202,-122.82325,2.585,0.72,ML,5412.0345064911635,5359.217373229409,2585.0
3160167,2011/04/27 02:51:30.82,38.79692,-122.77744,0.0,0.86,ML,10042.37988243544,4369.287827664308,0.0
3160266,2011/04/27 19:26:23.14,38.82218,-122.80035,3.214,0.9,ML,6661.985022330317,3799.6438615069865,3214.0
3260927,2011/04/28 05:02:57.28,38.78082,-122.71201,3.416,0.96,ML,15314.894035495672,1614.4152067823854,3416.0
3160387,2011/04/28 13:45:22.56,38.82252,-122.82964,3.851,0.55,ML,4838.655405142264,5569.805893544354,3851.0
3160405,2011/04/28 16:07:16.81,38.8122,-122.7785,0.68,0.98,ML,8782.649050487917,3239.604832799814,680.0
3160431,2011/04/28 23:45:20.84,38.83872,-122.78495,1.297,0.78,ML,6313.448819580692,1561.733421882514,1297.0
