event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,x_m,y_m,z_m
3146402,2011/01/02 07:35:29.32,38.84793,-122.824,2.137,1.09,ML,3197.884169525618,3237.0820153320115,2137.0
3146403,2011/01/02 07:49:32.80,38.82202,-122.78772,4.255,1.25,ML,7449.261166123621,3037.387757785182,4255.0
3146404,2011/01/02 08:16:33.46,38.80387,-122.80479,4.591,1.32,ML,7821.236102118823,5503.623617381797,4591.0
3146405,2011/01/02 08:28:49.73,38.74135,-122.71353,0.727,1.6,ML,18307.717757588372,4793.722619787324,727.0
3146406,2011/01/02 09:00:44.82,38.84237,-122.82965,3.079,1.58,ML,3286.0176112728805,4018.3949660629405,3079.0
3146407,2011/01/02 09:35:35.69,38.81573,-122.79517,1.549,1.03,ML,7484.053599401478,3986.19564981166,1549.0
3257548,2011/01/02 09:39:04.57,38.82847,-122.80192,4.09,0.78,ML,6073.875848252975,3404.152710279993,4090.0
3146408,2011/01/02 10:08:19.93,38.81402,-122.79559,1.784,1.15,ML,7591.990244393354,4145.660683082607,1784.0
3146409,2011/01/02 10:20:26.09,38.81676,-122.79397,3.505,1.93,ML,7477.132328676556,3832.05041257735,3505.0
3146410,2011/01/02 10:34:49.52,38.79635,-122.80444,1.781,1.49,ML,8430.677205578218,6070.124397276175,1781.0
3146411,2011/01/02 10:53:32.51,38.8264,-122.79903,1.845,1.58,ML,6413.006425469761,3388.718901486625,1845.0
3146412,2011/01/02 10:55:04.47,38.83058,-122.80873,1.903,1.25,ML,5491.151954061565,3656.9248260315,1903.0
3146413,2011/01/02 11:08:02.01,38.83782,-122.80957,3.032,1.71,ML,4873.545159169179,3142.374807695512,3032.0
3146414,2011/01/02 11:25:51.82,38.78265,-122.77731,4.322,1.6,ML,11166.091925885983,5477.050608076463,4322.0
3146415,2011/01/02 11:30:51.26,38.84437,-122.82349,3.057,1.37,ML,3507.5172082020226,3484.1448682428418,3057.0
3146416,2011/01/02 11:31:03.50,38.84593,-122.82892,2.68,0.99,ML,3052.45028862624,3695.2663971223474,2680.0
3146417,2011/01/02 12:13:02.03,38.77957,-122.71622,1.65,1.52,ML,15154.373192438385,1970.4051128968,1650.0
3146418,2011/01/02 12:30:44.57,38.80675,-122.791,3.884,2.38,ML,8441.98011571418,4432.518882502797,3884.0
3146419,2011/01/02 12:57:04.48,38.81536,-122.79657,4.458,1.29,ML,7427.10237360334,4101.005718275347,4458.0
3257549,2011/01/02 13:16:48.91,38.81922,-122.80828,2.924,1.07,ML,6406.967870314278,4517.531754842974,2924.0
3146420,2011/01/02 13:51:08.91,38.81428,-122.80915,3.095,1.61,ML,6739.8460510557325,4957.147311304738,3095.0
3146421,2011/01/02 14:00:27.18,38.84077,-122.79535,3.162,1.14,ML,5515.19366633151,2039.4193117181878,3162.0
3146422,2011/01/02 14:09:11.80,38.83907,-122.82678,3.175,1.41,ML,3720.092101126731,4100.358802680835,3175.0
3146423,2011/01/02 14:22:58.00,38.83647,-122.78402,1.825,1.18,ML,6546.420263354871,1680.6062916120488,1825.0
3146424,2011/01/02 14:37:27.26,38.84618,-122.81651,2.514,1.08,ML,3794.173975815207,2914.448897322842,2514.0
3146426,2011/01/02 16:26:06.47,38.82718,-122.79792,3.417,1.41,ML,6420.111162306539,3259.641469302262,3417.0
3146427,2011/01/02 16:39:27.17,38.80639,-122.81447,3.316,1.17,ML,7030.39995496786,5900.39413340971,3316.0
3146428,2011/01/02 17:01:00.43,38.84028,-122.826,2.136,0.96,ML,3673.3328637229974,3957.9039870450392,2136.0
3146429,2011/01/02 17:29:54.01,38.82348,-122.79456,3.928,1.08,ML,6915.518928744618,3342.8221295130074,3928.0
3146430,2011/01/02 18:01:22.66,38.84392,-122.83697,1.464,1.16,ML,2715.793694323528,4346.237244822079,1464.0
3146431,2011/01/02 18:14:32.32,38.85323,-122.81647,3.757,2.78,ML,3245.4049507681607,2360.7724067256563,3757.0
3146432,2011/01/02 18:16:20.71,38.85517,-122.82246,3.282,0.92,ML,2726.27447475465,2576.5348968746057,3282.0
3146433,2011/01/02 18:16:59.01,38.85788,-122.82143,3.139,1.58,ML,2577.5696293609317,2301.4628135600237,3139.0
3146434,2011/01/02 18:23:47.46,38.84092,-122.82535,2.851,0.98,ML,3663.165941176521,3867.990749306632,2851.0
3146435,2011/01/02 18:32:58.97,38.85855,-122.81838,3.228,1.28,ML,2712.281044567839,2061.979980554479,3228.0
3146436,2011/01/02 18:35:29.59,38.8485,-122.82193,3.128,0.78,ML,3280.2978942631444,3065.5343978398405,3128.0
3146437,2011/01/02 18:43:07.38,38.80022,-122.75792,2.56,1.42,ML,10981.78231347872,2913.847070149285,2560.0
3257552,2011/01/02 18:53:27.31,38.82813,-122.75525,0.312,1.37,ML,8963.35235624886,567.8437874359048,312.0
3146438,2011/01/02 18:54:16.78,38.82432,-122.78355,2.266,1.33,ML,7525.231269920953,2601.754577962694,2266.0
3146439,2011/01/02 19:01:07.03,38.81597,-122.79062,2.236,1.15,ML,7744.400672522507,3688.3185165839377,2236.0
3257553,2011/01/02 19:01:45.39,38.83878,-122.78082,3.95,0.84,ML,6562.105471102334,1303.6942553344754,3950.0
3257554,2011/01/02 19:17:33.27,38.80643,-122.7638,4.517,0.84,ML,10135.53844289557,2789.0006354644047,4517.0
3146440,2011/01/02 19:29:20.14,38.83917,-122.80244,2.703,1.21,ML,5205.369732290079,2599.4436464723854,2703.0
3146441,2011/01/02 19:38:08.34,38.83821,-122.79452,2.043,1.41,ML,5766.268941986603,2188.664677204853,2043.0000000000002
3146442,2011/01/02 19:59:04.37,38.84505,-122.82471,2.441,1.37,ML,3379.510773408434,3505.81613273284,2441.0
3146443,2011/01/02 20:06:39.99,38.83552,-122.78715,3.889,0.99,ML,6428.69391765997,1946.889125229877,3889.0
3146444,2011/01/02 20:34:18.39,38.8457,-122.82729,3.298,0.81,ML,3170.423053015007,3613.259940336427,3298.0
3146445,2011/01/02 20:35:41.35,38.8361,-122.79404,3.508,1.08,ML,5960.689624509129,2324.1957731222296,3508.0
3146446,2011/01/02 20:36:41.86,38.84588,-122.82652,2.821,1.02,ML,3203.5836363969033,3551.9518118742335,2821.0
3146447,2011/01/02 20:39:07.11,38.83932,-122.82553,3.124,1.26,ML,3777.2243440446573,4004.132747151262,3124.0
3146448,2011/01/02 20:45:38.27,38.81188,-122.78442,2.182,0.93,ML,8444.516639834656,3627.7773235949626,2182.0
